㞮	deru
吶	domoru
吷	ketsu
吸	suu
吹	fuku
吺	sasayaku
吻	kuchisaki
吼	hoeru
吽	hoeru
吾	ware
吿	tsugeru
呀	a
呁	haku
呂	sebone
呃	naku
呄	koku
呅	bai
呆	oroka
呇	kei
呈	shimesu
呉	kure
告	tsugeru
呋	fu
呌	kyou
呍	hoeru
呎	fiito
呏	garon
呐	domoru
呑	nomu
呞	kamikaesu
呟	tsubuyaku
呠	hon
呡	kuchibata
呢	ji
呣	bou
呤	sasayaki
呥	kamusama
呦	musebu
呧	shikaru
周	mawari
呩	tashinamu
呪	norou
呫	nameru
呬	iki
呭	shaberu
呮	koshikakeru
呯	hei
呰	semeru
呱	ko
呲	shi
味	aji
呴	ikiwokaketeatatameru
呵	shikaru
呶	kamabisushi
呷	suu
呸	hi
呹	itsu
呺	kyou
呻	utau
呼	yobu
命	inochi
呾	shikariau
呿	hiraku
咀	kamu
咁	hukumu
咂	suu
咃	ta
咄	shikaru
咅	tsubaohaiteinamu
咆	hoeru
咇	hetsu
咈	tagau
咉	fusagaru
咊	wa
咋	kuu
和	yawaragu
咍	warahu
咎	toga
咏	utau
咐	iitsukeru
咑	da
咒	norou
咔	rou
咕	butsubutsuiu
咖	ka
咜	shikaru
咟	kaku
咠	sasayaku
咡	kuchimoto
咢	odoroku
咣	kou
咤	shikaru
咥	warau
咦	toiki
咧	retsu
咨	hakaru
咩	bi
咪	meetoru
咫	ta
咬	kamu
咭	koenosama
咮	kuchibashi
咯	haku
咰	nomu
咱	ware
咲	saku
咳	seki
咴	koe
咵	kuu
咶	iki
咷	naku
咸	mina
咹	domoru
咺	osoreru
咻	ku
咼	yokoshima
咽	nodo
咾	koe
咿	tsukuriwarai
哀	aware
品	shina
哂	warau
哃	tou
哄	koe
哅	wameku
哆	ookii
哇	yokoshima
哈	nomu
哉	kana
哊	haku
哋	tetsu
响	hibiiku
哎	gai
哏	kon
哘	sasou
哠	shaberu
員	kazu
哢	saezuru
哤	bou
哥	utau
哦	utau
哧	monomi
哨	mihari
哩	wai
哪	da
哫	kobiru
哬	shikaru
哭	naku
哮	hoeru
哯	haku
哰	hiku
哱	koe
哲	akiraka
哳	tatsu
哶	ba
哷	retsu
哸	sai
哺	fukumu
哻	nemuru
哼	obieru
哽	musebu
哾	nameru
哿	yoi
唀	sasoou
唁	tomurau
唃	koku
唄	uta
唅	hukumu
唆	sosonokasu
唇	kuchibiru
唈	nageku
唉	aa
唊	kyou
唋	haku
唌	nageku
唍	hohoemu
唎	koe
唏	nageku
唐	kara
唑	zei
唒	shuu
唔	go
唕	sawagashii
唖	oshi
唗	kore
唘	kei
唙	teki
唚	shin
唝	kou
唡	ryou
唤	yobu
唧	kakotsu
唪	oogoe
唫	domoru
唬	ka
唭	oroka
售	uru
唯	tada
唰	hanetsukurohu
唱	tonaeru
唲	hetsurau
唳	naku
唴	naku
唵	hukumu
唶	naku
唷	warau
唸	unaru
唹	warau
唻	utau
唼	kurahu
唽	seki
唾	tsuba
唿	ureeru
啀	igamu
啁	tawamureru
啃	shuu
啄	tsuibamu
啅	yakamashii
商	akinau
啇	moto
啈	sawagukoe
啉	kamabisushii
啊	koe
啋	kamabisushii
啌	shikaru
啍	iki
啎	sakarau
問	tou
啐	odoroku
啑	sou
啒	ureeru
啓	hiraku
啔	kei
啕	oshaberi
啖	kuu
啗	kuu
啘	en
啙	yugamu
啚	oshimu
啛	nameru
啜	susuru
啝	shitagau
啞	oshi
啟	hiraku
啠	satoi
啡	ibiki
啢	ryou
啣	kutsuwa
啤	hi
啥	nani
啦	rahu
啮	kajiru
啯	kaku
啴	aegu
啻	tada
啼	naku
啽	ibiki
啾	naku
啿	yutaka
喀	haku
喁	agitou
喂	nageku
喃	nou
善	yoi
喆	tetsu
喇	monoiu
喈	kai
喉	nodo
喊	sakebu
喋	shaberu
喌	shuku
喍	sai
喎	yugamu
喏	hai
喑	oshi
喒	ware
喓	koe
喔	aku
喕	ben
喗	gin
喘	aegu
喙	kuchibashi
喚	yobu
喛	ikidooru
喜	yorokobu
喝	shikaru
喞	kakotsu
喟	tameiki
喡	i
喢	oshiyaberi
喣	iro
喤	nakigoe
